173 200
่|0.0910373|0.261015|-0.569205|-0.496412|-0.171402|-0.211362|-0.307551|-0.00536254|0.482524|0.247857|0.117735|0.167164|0.547454|-0.118058|0.612524|-0.480624|-0.59998|-0.0233122|-0.159891|-0.248654|0.494561|0.10014|0.23765|-0.117569|0.140534|0.152641|-0.0780753|-0.132361|0.2447|-0.402938|0.0167967|0.835549|0.0416541|-0.29661|0.553431|0.674415|1.01515|0.398757|0.492909|-1.05798|0.261793|0.00544531|-0.55337|0.0910046|-0.200062|0.104032|0.146366|-0.668276|0.0571192|0.469857|-0.390196|-0.360939|0.470494|0.561682|0.186882|0.806421|0.236761|-0.1351|-0.377241|0.181291|0.303516|0.436261|0.0497149|-0.371882|0.732993|0.00101959|0.576758|0.362655|0.214075|-0.201675|0.697241|0.298678|-0.0229371|-0.337374|-0.0578777|0.755673|0.225908|0.023082|0.504213|0.499449|-0.111166|0.134213|0.0136267|0.47695|0.0783987|0.349306|0.567614|0.0279701|-0.215107|0.172249|0.016395|-0.26715|-0.0334885|-0.207114|-0.0634992|-0.242488|-0.544901|0.141844|0.680158|0.202484|0.197548|-0.117258|0.569512|-0.0870111|-0.0648511|-0.0195581|-0.31879|-0.0437167|-0.648423|0.124309|-0.183746|0.609986|-0.462605|0.202879|0.443458|0.177749|-0.148907|-0.0543848|0.42119|-0.0749635|-0.176907|-0.33427|-0.0265099|-0.171292|-0.0735667|0.0977359|-0.0979727|0.0853384|-0.170298|-0.287657|-0.758293|-0.385425|0.386673|-0.17689|0.141055|0.0155017|-0.665519|-0.526665|0.0100164|-0.472497|-0.185867|-0.536853|0.274873|0.424342|-0.00344864|-0.034439|0.337512|-0.431201|-0.426347|-0.160822|0.436423|0.295311|0.11317|0.384539|-0.219052|-0.257881|-0.02405|0.46567|-0.476851|-0.0843584|0.1701|0.184034|-0.00614812|-0.034917|-0.63669|0.0126459|0.0753241|-0.0898963|0.171434|0.478358|0.222299|-0.0356189|-0.22983|-0.375072|-1.25984|-0.594094|-0.164477|-0.226357|-0.28106|-0.355963|-0.00209423|0.287547|0.209466|-0.151951|0.561532|0.193206|0.264067|0.307166|-0.0117592|0.48376|-0.430101|-0.634221|-0.624866|-0.529128|0.299844|0.415842|0.403412|0.0212032|0.470537|0.332067
้|0.458546|-0.0365188|0.0906941|0.2205|-0.168431|0.676428|-0.468832|-0.0739195|0.727856|0.0343312|0.194458|0.0988091|-0.108394|0.435162|1.01087|-0.65977|-0.9082|0.388592|0.158239|0.36749|0.574499|0.706208|0.950485|0.233727|-0.109678|-0.214455|-0.88605|0.0397321|0.0812303|-0.461313|0.131243|-0.0525361|0.280485|-0.343174|0.613055|0.2326|0.775164|0.441717|0.31816|-0.480955|0.521783|-0.234736|-0.709355|-0.418265|-0.167306|0.186365|-0.108709|-1.01503|0.694041|0.223842|0.421943|-0.656769|-0.07803|0.271744|0.244874|0.980196|0.754813|-0.733289|-0.514277|0.488978|0.164358|0.186691|-0.590557|-0.448365|0.232435|-0.0304267|0.642085|0.192427|-0.0900474|-0.227859|0.100472|-0.230285|-0.0749622|0.31785|0.196434|0.235059|0.174166|0.181611|-0.0748275|1.07535|-0.431273|0.097463|-0.404623|0.059521|0.090918|0.141836|0.0770744|-0.1553|0.171609|-0.548233|-0.0112856|-0.29025|-0.0632043|-0.800611|-0.426785|0.0549519|-0.53478|0.330715|0.673283|-0.32215|0.324519|0.0263028|0.0541515|-0.428894|-0.734091|0.0371868|-0.0267508|0.117418|-0.714105|-0.124889|-0.210296|0.0164148|-0.331604|0.256928|0.561376|-0.236434|0.103557|0.29366|-0.0665274|-0.00770055|-0.0138177|0.220585|-0.23598|0.300407|-0.736575|0.416531|-0.245676|1.10352|-0.295276|0.104071|-0.677688|-0.512684|-0.0631757|0.432389|0.320784|-0.213762|-0.480948|-0.448387|0.10504|-0.35385|-0.258372|-0.531718|0.0728773|-0.241951|-0.0566104|0.580077|-0.361218|-0.397831|-0.0789185|0.180447|0.180659|0.21421|-0.0114131|0.172356|-0.462006|-0.207827|-0.400632|0.0183451|-0.436761|-0.352196|0.462341|-0.437051|-0.274998|-0.0782341|0.271285|0.348023|0.0671386|0.129355|0.175861|0.0841904|0.212795|-0.102318|-0.250514|-0.37672|-0.582397|-0.60968|0.0409192|-0.68279|-0.520812|-0.569654|0.467017|0.15563|0.0236617|-0.589974|-0.207564|-0.0142167|0.0292663|0.549433|0.202557|-0.383408|-0.0632488|-0.489239|0.0478409|-0.00665489|0.456518|-0.462971|0.152983|0.866764|-0.140292|0.5659
๊|0.650312|-1.10934|0.501002|1.0416|1.27911|-3.00741|-0.722489|-1.26617|0.953173|-0.155387|-1.02451|1.24103|-0.205805|1.7302|0.410922|1.285|0.705376|-0.10211|-0.05385|0.773331|-0.741776|0.672006|-0.831451|-0.568132|0.715684|-0.120648|-1.06349|-0.479313|-0.812799|0.226915|1.32203|0.594322|-0.0919919|-0.475727|1.4752|-0.496466|0.122711|0.0303306|0.254591|0.861051|-0.779267|0.929345|0.142339|-0.56764|2.17877|0.293856|0.142348|-0.245504|-0.126384|-0.25603|-0.255703|0.537647|-0.0840754|0.494979|0.293143|0.315485|0.743657|-1.32421|-0.169732|-0.876385|-1.44644|-1.21723|-0.532803|-0.256119|-0.268644|-1.71092|0.849223|-1.55716|-0.539631|1.6473|1.02077|-0.205189|0.155502|-0.893527|0.0564103|1.0245|-0.677764|0.390219|0.1919|-0.93942|1.5408|0.199559|-0.327562|0.198717|0.7312|0.153286|0.428445|0.662391|-2.34547|0.556842|-0.214096|0.0942384|0.408938|-0.750839|0.771668|-1.65484|-0.232955|-0.943126|0.218504|0.411909|0.188505|0.0147521|0.306163|0.116752|-0.219875|-0.376252|1.32384|-0.213861|0.389519|-0.615424|-0.726435|0.05487|-0.101794|-1.16448|-0.00751561|0.574639|-0.666482|-0.27822|0.456071|1.45344|-1.05987|-0.127719|-0.138212|-0.350875|1.45775|0.839107|-0.237831|0.54782|1.2827|1.4832|0.532153|-0.372816|1.86899|0.476605|-1.51061|0.498758|-0.738858|-0.223872|0.621724|-0.734275|0.11401|-0.451287|-1.39769|0.408129|0.561105|-0.486355|-1.40713|-1.45495|0.450462|-0.668718|-0.547366|-0.731234|0.270036|0.882975|0.760026|-0.421443|1.40217|0.329141|0.223328|0.612774|-1.90075|0.325431|-1.0252|0.337184|-0.680461|-0.101172|0.052087|-0.216723|0.230721|0.796061|0.483539|-0.419084|-0.453393|1.11254|2.63796|-0.361817|-1.28796|-1.03174|-0.105984|-0.199957|0.470684|1.36834|-0.969825|0.779554|0.204572|-0.202596|-0.65903|0.0255324|-0.546349|-0.756063|-0.846298|0.337245|0.324268|0.377587|0.566498|0.591733|0.0475489|-1.56369|-0.8057|-0.958512
๋|-0.643995|-0.9363|-0.679247|0.471308|1.65038|-1.63328|-1.57552|0.670738|0.512644|0.440673|-0.180617|1.16589|0.522022|-0.871699|-0.306537|1.10901|0.0503909|0.881518|1.18589|0.416353|-0.698019|0.450293|-0.370106|0.707142|-0.314825|0.734405|-0.93296|-0.109864|-0.766744|-0.440876|0.362195|0.786238|0.24477|1.34864|0.171379|0.487521|-0.384521|0.698094|-0.0595197|-0.253745|-0.288338|0.0693982|0.216761|-0.864352|1.47194|0.0599884|0.323326|0.945772|-0.148253|0.152417|-0.0102853|-0.197156|0.643498|-0.0673731|-0.447411|0.466212|-0.109588|-1.62429|-0.302493|-0.830898|-0.357531|1.16799|1.43661|1.16729|0.83084|-1.50839|0.456946|-0.839992|-0.685602|0.636505|1.19813|-0.727827|-0.0154557|-0.242733|1.10102|-0.719248|0.0903315|-0.201532|-0.444259|0.441149|1.47433|-0.470373|-0.461596|0.0938435|-0.625069|-0.432684|-0.142091|1.27552|-1.53149|0.211021|-0.576497|0.340919|-0.838722|-0.357312|0.774756|-0.485112|-0.18846|0.70813|0.755593|-0.835035|1.13949|0.275605|0.6235|-0.775995|0.130945|-0.0122273|0.441262|-0.749327|-0.633015|-0.125716|-1.86461|1.3692|-0.331051|0.263451|-0.434422|-0.147892|-0.455978|-0.728399|-0.169634|0.325499|-0.695407|-0.432664|1.1875|-0.862833|-0.426894|0.679926|0.831511|0.277329|1.73511|1.31029|0.205484|0.210016|1.26106|0.407124|-0.874981|-0.797011|-0.424483|0.0818516|1.52628|-0.230559|-0.178363|-0.172262|-0.134696|-0.131086|0.957734|-0.697523|-1.03038|-1.62152|0.578386|-0.710648|0.667268|-0.848136|-0.101144|0.628135|1.03478|0.941176|0.473865|0.844372|-0.327286|0.456159|-1.15914|0.291638|0.47223|0.602786|0.0468432|0.647645|0.326918|0.134218|-0.208521|0.636363|-0.56617|-0.361683|-0.288766|-0.16214|0.490847|0.162655|-0.502798|-0.0502888|0.310748|-1.18457|1.41134|0.867438|0.132514|0.460037|1.14324|0.448127|-0.114962|0.240507|1.18757|0.173955|0.233013|-0.342236|0.489266|-0.464142|0.660135|0.493495|-0.349907|-0.79389|1.06493|-0.816608
์|0.308375|1.20469|1.09476|-0.621683|-0.0569561|0.271217|0.991948|-0.47287|1.33895|-0.266432|0.017145|-0.395172|-0.46557|0.713508|-1.00741|0.206145|-0.244084|0.521326|0.326707|-0.553094|-0.370644|-0.202671|-2.42503|0.529041|0.542277|-0.632981|0.612413|0.401602|-1.90515|0.76017|0.519872|0.579633|1.03883|-0.358781|-0.956434|-0.393546|-1.1065|-0.904806|-1.08914|1.64126|-0.21467|-0.654313|0.380211|0.426569|-0.350682|0.515443|-0.549971|0.428163|0.164366|-0.321603|-0.932021|-0.418787|0.0106858|-0.248962|-0.666781|-0.715684|-0.351236|0.634374|-0.488726|0.299646|-1.07385|-0.456748|-0.408922|0.25958|0.257567|-0.0907821|-0.408607|-0.468252|0.573483|0.300829|1.33957|-0.523557|0.653084|-0.315593|0.321034|0.197784|-1.20442|-1.63779|-0.409346|0.77045|1.23271|0.269478|2.02711|-0.291166|0.0742137|-0.0665243|-0.517637|0.46781|-1.36325|0.70091|0.827229|0.815153|0.252298|-0.0383356|-0.465444|-0.341856|0.528441|0.653009|0.750424|1.44768|1.02071|-0.109626|0.377767|0.878271|1.75924|0.150221|0.575035|-0.923055|1.55866|0.314977|0.87153|-0.185765|0.435981|0.329825|1.58446|0.0322684|-0.189616|-0.199876|0.68741|-0.766663|-1.34209|0.177097|1.3401|1.0807|1.17709|-0.0395509|0.0201821|-1.68125|0.104291|1.43632|2.01132|-0.547822|-0.346435|0.423156|-0.816982|0.304724|-1.71795|1.26507|-0.911307|-1.13607|0.058354|0.17088|0.433435|-0.772565|-0.0285055|1.0634|2.90581|-0.175747|-0.899562|-0.0781898|-0.0508728|0.334204|-0.152786|-0.478465|0.38911|-0.321646|0.648725|-0.320079|-1.47423|0.406172|-0.508222|1.25477|0.496244|0.941122|0.831807|0.68667|0.413487|0.238303|-0.0778514|-0.093799|-0.10233|-1.4824|-0.034612|0.131992|0.463053|-0.91714|0.153924|0.489438|-1.02448|0.961049|-0.930156|-0.137524|-0.565045|0.050922|-0.366138|0.498584|0.781244|-0.954795|-0.711801|0.18454|0.224863|1.93732|0.525783|0.142344|-0.884926|1.38106|-1.26812|-0.882049|-1.00685|0.173195
ํ|0.58541|0.428751|-0.163357|-0.159066|-0.0306487|-0.343209|0.0822533|0.141828|0.145152|-0.514945|-0.494534|0.444439|0.520553|1.2063|-0.0546315|0.982798|-0.35625|0.203287|-0.0694923|-0.291685|-0.0737501|0.294589|0.257082|0.627868|0.170158|-0.134049|0.472804|-0.249375|0.445367|0.362683|0.250421|-0.444607|-0.309919|0.432774|0.130943|0.469366|-1.05876|0.164415|-0.217125|0.00575862|0.508403|-0.133051|0.359388|-0.17304|0.343731|-0.166606|-0.191565|0.641771|-0.488891|-0.517531|0.279202|0.74542|0.467011|-0.411731|-0.216345|0.804831|0.621738|0.00183151|0.695663|0.0951248|0.11888|0.149198|-0.267044|-0.524478|0.569589|0.220249|-0.207541|0.243538|0.0095045|0.128666|-0.0220063|0.16114|-0.833029|-0.397008|-0.45969|0.84891|-0.272597|0.206471|0.01975|0.159665|-0.918102|0.15596|-0.116592|-0.204235|0.384629|0.215845|0.403419|0.626135|-0.196189|-0.226447|-0.0386048|-0.552704|0.287482|-0.278286|0.742109|-0.012258|-0.0731175|0.0302491|0.570886|0.613001|-0.232613|-0.256581|-0.133227|0.301132|-0.00282103|-0.324216|0.212455|0.16344|-0.0846389|0.500848|0.936489|-0.185|-0.217054|-0.0927503|-0.0776985|1.05492|0.0639868|0.38058|0.0740111|0.319193|0.508337|0.0626334|-0.129978|0.315085|0.516967|0.271988|-0.0210077|-0.301623|-0.0487927|0.00289163|-0.383012|-0.285739|0.021011|0.202154|-0.245256|0.111089|-0.00370727|-0.168104|0.611781|0.457749|0.173282|-0.547019|-0.747939|0.584086|0.103443|-0.0156318|0.13213|0.0713786|-0.447378|-0.194243|0.165627|-0.181567|0.457913|0.630207|-0.00584736|-0.0582529|0.492752|-0.227345|-0.750523|0.656524|0.312893|0.091636|-0.430247|-0.619983|-0.200847|0.438446|0.0364023|-0.247622|0.0388253|0.176972|-0.0624422|-0.0447395|0.0864075|-0.429133|-0.33858|0.76258|0.0962564|0.713213|-0.235956|-0.171187|-0.15956|-0.247556|0.505001|0.202315|0.462883|0.249978|-0.114222|-0.0798997|-0.229115|0.63954|-0.0110076|-0.173674|-0.276238|0.956639|0.409617|0.639057|-0.488499|-0.0358501|-0.119489|-1.53876
เ|-0.0309712|0.502643|-0.910121|-1.27545|0.41477|0.595664|0.578758|0.674344|0.345862|0.39921|0.0286787|1.06284|-0.127901|0.394808|-0.333016|0.122611|0.248455|-1.54873|0.485709|0.119074|0.342756|0.556196|-0.0829501|0.362651|0.0122151|0.445933|-0.61231|0.0996737|0.0200881|0.267925|0.405622|0.275982|0.175363|-0.644318|0.270947|1.72277|-0.0725521|-0.177449|0.680835|-0.240135|0.805836|0.562844|0.513811|0.433044|0.477527|-0.0132338|-0.153235|-0.287149|0.876352|0.331234|0.0769256|0.193606|0.449679|0.230197|-0.20083|0.226136|-0.268317|-0.630168|-0.449526|0.610823|0.220693|0.280692|0.535273|-0.252673|0.643415|-0.165083|-0.00878637|0.00999579|0.641347|-0.427013|-0.13603|-1.32748|0.221482|0.237426|0.600089|-0.19217|0.202105|0.122037|0.599508|-0.842004|-0.453821|0.072998|-0.633969|0.637976|0.121522|-0.200576|0.125359|-0.523195|-0.675785|0.42181|0.0768664|0.15471|1.13861|-0.356103|-0.229792|-0.187735|-0.120911|0.505203|0.448161|0.187886|0.130813|0.156827|1.13877|-0.429413|-0.286907|0.552714|-1.09624|0.446145|0.0720846|-0.553117|-1.11677|0.628126|-0.482398|-0.131273|-0.010643|-0.259959|0.876732|-0.852105|-0.86457|-0.0206239|-0.176738|0.288773|-0.308266|0.145918|0.478306|0.163263|-0.189836|-0.224785|0.025268|-0.319693|-0.551584|-0.0311238|0.280331|-0.38491|0.484141|0.189825|-0.248847|0.176591|-0.068445|0.113746|-0.677961|0.00673142|-0.225029|-0.0796331|0.296364|-0.213785|0.138562|-0.254703|-0.261909|-0.250323|-0.0621843|-0.272955|-0.107869|-0.287099|0.103386|-0.470803|-0.152814|0.352389|-0.0315533|-0.104655|0.452068|-0.262199|0.0865623|0.231824|0.680989|0.0136183|-0.308758|-0.0505897|0.103499|-0.171901|0.0121958|0.46236|0.202697|-0.770675|-0.033371|0.163916|0.109404|-1.32236|0.239302|-0.0730659|-0.295045|0.287027|0.289597|0.357767|-0.0735353|1.32197|-0.45147|-0.247429|-0.157689|0.314732|0.158418|0.0397195|-0.758602|-0.818073|-0.922159|-0.534908|0.320563|-0.351488|-0.578261|-0.766663
แ|0.191882|-0.284618|0.632513|0.0965895|0.211527|-0.648447|0.413756|-0.290459|0.922635|0.0791262|-0.817741|0.0779986|-0.36954|0.225476|0.128627|0.514367|0.476965|-0.143011|0.0324994|0.596518|0.22464|0.703592|0.398536|-0.0405868|-0.274288|-0.69563|-0.0949573|0.494022|-0.258544|-1.25005|1.11846|-0.411069|0.0675542|0.506508|-0.572648|0.486574|0.0112836|-0.0889788|-0.287659|0.308951|0.302542|-0.0695166|-0.229307|-0.417402|0.953433|0.415916|-0.185529|-0.717705|0.380357|-0.626354|0.405172|-0.00277528|-0.359949|0.043778|-0.220472|0.320425|0.0249157|-0.629956|-0.438564|-1.0262|-0.107589|-0.435943|-0.253833|-0.247413|-0.506412|-0.00643019|0.352782|0.0835397|-0.167879|-0.365688|0.541923|-0.594883|0.162188|-0.0937927|0.506375|-0.210171|0.261559|0.481452|0.123328|-0.647413|-0.326551|0.423357|0.10689|0.206142|0.394269|0.284754|-0.421315|-0.53542|0.85044|-0.112838|-0.243122|-0.18682|0.567345|0.232552|-1.25731|0.120774|0.197705|0.00413563|-0.391657|-0.102627|-0.196747|0.0676317|0.705274|-0.717148|-0.595998|0.0891568|-0.627382|0.872181|-0.0777457|-0.773674|-0.753233|0.0405229|0.702511|-0.625577|-0.211068|0.333886|0.145693|-1.22936|-0.233011|0.797149|0.876202|1.52297|0.50138|-0.290269|0.108701|-0.324551|-0.0353936|-0.084292|-0.508858|-0.478873|-0.277301|0.224776|-0.18996|-0.755246|-0.0360924|0.172671|0.240534|0.474674|0.624362|-0.54347|0.0262318|-0.0711804|0.393218|0.0159998|0.142803|0.246532|0.20962|-0.403918|-0.230037|0.535727|0.356578|0.816147|0.0851553|0.468798|0.230632|-0.749314|-0.551257|0.161|0.18232|0.25789|0.0916132|-0.4224|-0.0779765|0.00986409|0.00137882|-0.629129|-0.221923|-0.0177152|-0.23878|-0.372302|-0.835033|0.10244|-0.122851|0.578351|0.427317|-0.398537|-0.477459|0.34852|-0.226052|0.116561|0.241021|1.12296|0.0185904|0.0266408|-0.406708|0.675234|0.16293|0.0302295|1.13374|0.0184244|0.387021|0.0479973|-0.147772|-0.411089|0.29047|-0.489437|0.267798|0.380004|0.63086|0.413093
โ|0.417428|-0.14857|-0.602481|0.0855311|-0.182644|0.227568|-0.398755|0.492782|0.359543|-0.26072|-0.0749135|1.3629|-0.385325|-0.203979|-0.106229|-0.00666101|1.28706|-1.038|-0.810417|0.0542324|0.256362|-0.143126|-0.583254|-0.0316025|0.76689|-0.061892|-0.227935|-0.207941|-1.61076|-0.382728|-0.241716|0.375113|0.646262|-0.00832447|-0.942972|-0.324663|-0.539656|-0.955561|-0.971895|0.573758|0.106078|0.24225|-0.222248|-0.367711|0.807355|-0.469738|-0.0913566|0.654796|0.247863|-0.360435|0.10097|0.141431|0.00318877|0.409457|0.0181205|0.262322|0.94223|0.0603041|0.756992|-0.559483|-0.619435|-0.496481|-0.211242|-0.0584381|0.798035|-0.787157|0.393415|-0.61949|0.256347|0.239404|0.0173575|-0.15523|0.321988|-0.628607|-0.0435658|0.391474|-0.899306|-0.436918|-0.268569|0.368393|0.434879|0.678553|0.39182|-0.353413|0.333344|-0.190987|-0.60394|-0.0240191|0.210828|0.115378|0.291812|-0.136445|0.347118|-0.705565|0.0514502|-0.314589|-0.923032|0.483364|0.0604074|0.374586|0.867491|-0.443927|0.453263|0.565228|0.0764643|-0.166644|0.374647|0.790173|1.00084|-0.382361|0.360174|-0.35382|0.921613|-0.170997|-0.223379|0.273172|0.590087|0.395703|0.0585576|0.614137|-0.366462|-0.0699672|-0.263367|-0.380794|0.0708185|-0.250665|0.2783|-0.285458|-0.735459|0.272787|0.184755|-0.106563|-0.670971|0.489461|0.119217|0.913318|-0.392766|0.0631455|0.370675|0.327507|0.0434781|0.501229|0.263356|-0.338966|-0.534061|0.397654|0.559958|-0.711879|0.400048|1.06325|-0.696013|0.188362|0.12832|-0.660556|-0.416315|0.126879|-0.0486975|-0.125308|0.393681|0.100262|-0.480383|0.140614|0.493635|0.935345|0.496135|0.546288|-0.226054|-0.0062982|-0.438718|-0.919244|-0.53601|-0.168499|-0.748869|0.335336|0.435063|-0.870872|-0.209852|-0.667026|-0.388204|0.599786|0.497919|0.367274|-0.354193|0.0865048|-0.0382874|0.222974|-0.300236|0.295871|0.198902|0.313567|-0.336319|0.622816|0.115949|0.690921|-0.29526|-0.144124|-0.348801|-0.550044|-1.31796|-0.813014
ใ|0.227347|1.16559|0.575322|1.34873|0.0202045|-0.156902|0.638032|-0.670516|0.514472|0.280607|0.533757|-0.63496|0.399336|-1.07188|0.345324|0.134829|0.349409|-0.00897002|-0.950069|0.0696106|1.10738|-0.644499|0.0768516|0.000370056|-0.322812|-0.0874001|0.0821676|0.282082|-0.0326175|-0.0986821|-0.183754|0.222261|0.887614|0.908939|0.0619722|0.528787|-0.42853|-0.129815|0.474752|-1.26939|-0.0676299|0.0202086|-0.307114|-0.422609|-0.0376787|-0.271329|-0.721288|0.67703|-0.308966|-0.23996|0.487702|0.344666|0.656023|0.335305|0.0487805|-0.187632|-0.264907|0.460656|-0.827865|-0.377353|0.658089|-0.149572|-0.509104|0.214194|1.17375|0.185621|0.715138|0.0424952|-0.520174|0.0566894|-0.439875|0.00301537|-0.400529|-0.565266|-0.212717|0.334154|0.681788|-0.622406|-0.289415|-0.00145552|-0.281397|-0.0332423|0.168179|0.691934|0.31492|-0.0712062|-0.0923907|0.383413|0.758308|0.437872|0.464806|-0.193494|0.593529|-0.0379094|0.275141|-0.0326662|0.194733|-0.338724|-0.0537518|0.173564|0.0890173|-0.115633|0.25917|-0.745217|-0.514391|-0.652331|0.416836|0.272942|0.137737|-0.142511|-0.237053|0.689824|-0.954006|0.257334|1.08656|-0.225541|0.139075|-0.381449|-0.018568|-0.685982|0.328433|0.682451|-0.22468|-0.1221|0.954128|-1.00234|-0.0196211|-0.809066|-0.606172|-1.29758|0.0819327|0.12385|-0.746559|-0.235923|0.185185|-0.291554|0.0632054|-0.688972|0.166221|0.510849|-0.687575|-0.0289306|-0.17064|0.854521|0.315721|-0.0916663|-0.0249347|0.291427|0.224275|-0.239206|0.0460314|0.688304|-0.0990927|-0.42345|0.260968|-0.187691|-0.656195|0.456817|0.0297315|-0.415392|-0.193721|-0.669117|0.0319238|0.197964|-0.740652|0.0486088|-0.0705438|-0.319911|0.774749|-0.153213|-0.353137|-0.00447141|0.793418|-0.275014|0.479342|0.445884|-0.713341|0.0915879|0.684679|0.0523889|-0.649292|0.264515|0.0114166|0.118425|0.8333|0.404664|-0.100104|0.465874|-0.0481215|-0.305285|1.18023|-0.865309|-0.924973|0.362766|-0.239275|0.064962|-0.982335|0.683999|0.0981531|0.511164
